# idx	time(s)	ANOMALY(d)	R1(AU)	s1x(m)	s1y(m)	s1z(m)
43	1.8576e+07	211.332	1.00822	-1.28815e+11	-7.84285e+10	2.15306e+09
44	1.9008e+07	216.182	1.00776	-1.21667e+11	-8.89995e+10	2.03362e+09
45	1.944e+07	221.036	1.00724	-1.13642e+11	-9.89276e+10	1.89949e+09
46	1.9872e+07	225.897	1.00667	-1.04793e+11	-1.0814e+11	1.75162e+09
47	2.0304e+07	230.762	1.00605	-9.51856e+10	-1.16568e+11	1.59104e+09
48	2.0736e+07	235.634	1.00538	-8.48868e+10	-1.2415e+11	1.41891e+09
49	2.1168e+07	240.513	1.00468	-7.39704e+10	-1.30829e+11	1.23645e+09
50	2.16e+07	245.399	1.00394	-6.25147e+10	-1.36554e+11	1.04497e+09
51	2.2032e+07	250.292	1.00317	-5.06023e+10	-1.41281e+11	8.45851e+08
52	2.2464e+07	255.192	1.00238	-3.83193e+10	-1.44974e+11	6.40533e+08
53	2.2896e+07	260.101	1.00157	-2.5755e+10	-1.47602e+11	4.3051e+08
54	2.3328e+07	265.017	1.00075	-1.30013e+10	-1.49144e+11	2.17317e+08
55	2.376e+07	269.942	0.999917	-1.5161e+08	-1.49585e+11	2.52087e+06
56	2.4192e+07	274.875	0.999088	1.26991e+10	-1.48921e+11	-2.12293e+08
57	2.4624e+07	279.816	0.998265	2.54557e+10	-1.47152e+11	-4.25531e+08
58	2.5056e+07	284.765	0.997454	3.8023e+10	-1.4429e+11	-6.35603e+08
59	2.5488e+07	289.722	0.996661	5.0307e+10	-1.40353e+11	-8.40936e+08
60	2.592e+07	294.687	0.995893	6.22153e+10	-1.35367e+11	-1.03998e+09
61	2.6352e+07	299.659	0.995155	7.36579e+10	-1.29368e+11	-1.23124e+09
62	2.6784e+07	304.639	0.994452	8.45478e+10	-1.22399e+11	-1.41325e+09
63	2.7216e+07	309.625	0.993791	9.48021e+10	-1.1451e+11	-1.58464e+09
64	2.7648e+07	314.618	0.993175	1.04342e+11	-1.05758e+11	-1.74408e+09
65	2.808e+07	319.617	0.992611	1.13095e+11	-9.62081e+10	-1.89036e+09
66	2.8512e+07	324.621	0.992101	1.20993e+11	-8.59308e+10	-2.02234e+09
67	2.8944e+07	329.63	0.991651	1.27974e+11	-7.50029e+10	-2.13901e+09
68	2.9376e+07	334.643	0.991263	1.33985e+11	-6.35064e+10	-2.23947e+09
69	2.9808e+07	339.66	0.990941	1.3898e+11	-5.15278e+10	-2.32292e+09
70	3.024e+07	344.68	0.990687	1.42918e+11	-3.91578e+10	-2.38873e+09
71	3.0672e+07	349.702	0.990503	1.4577e+11	-2.64901e+10	-2.43638e+09
72	3.1104e+07	354.725	0.99039	1.47512e+11	-1.36208e+10	-2.4655e+09
73	3.1536e+07	359.749	0.99035	1.48132e+11	-6.47871e+08	-2.47586e+09
