# idx	time(s)	ANOMALY(d)	R1(AU)	s1x(m)	s1y(m)	s1z(m)
1	432000	5.02426	0.990387	1.4757e+11	1.29755e+10	-2.46646e+09
2	864000	10.0478	0.990495	1.45883e+11	2.58523e+10	-2.43827e+09
3	1.296e+06	15.0698	0.990676	1.43086e+11	3.85324e+10	-2.39154e+09
4	1.728e+06	20.0897	0.990927	1.39201e+11	5.09195e+10	-2.32663e+09
5	2.16e+06	25.1067	0.991245	1.34259e+11	6.29197e+10	-2.24404e+09
6	2.592e+06	30.1202	0.99163	1.28297e+11	7.44423e+10	-2.14441e+09
7	3.024e+06	35.1294	0.992077	1.21363e+11	8.54006e+10	-2.02853e+09
8	3.456e+06	40.1338	0.992584	1.1351e+11	9.57122e+10	-1.89729e+09
9	3.888e+06	45.1328	0.993146	1.04798e+11	1.053e+11	-1.7517e+09
10	4.32e+06	50.126	0.993759	9.52954e+10	1.14093e+11	-1.59288e+09
11	4.752e+06	55.1127	0.994418	8.50749e+10	1.22027e+11	-1.42206e+09
12	5.184e+06	60.0926	0.995119	7.42147e+10	1.29044e+11	-1.24055e+09
13	5.616e+06	65.0654	0.995856	6.27977e+10	1.35092e+11	-1.04972e+09
14	6.048e+06	70.0306	0.996623	5.09105e+10	1.40129e+11	-8.51023e+08
15	6.48e+06	74.988	0.997414	3.86431e+10	1.44119e+11	-6.45968e+08
16	6.912e+06	79.9375	0.998224	2.60876e+10	1.47035e+11	-4.36095e+08
17	7.344e+06	84.8789	0.999046	1.33383e+10	1.48859e+11	-2.22977e+08
18	7.776e+06	89.8122	0.999875	4.89982e+08	1.49578e+11	-8.20407e+06
19	8.208e+06	94.7372	1.0007	-1.2362e+10	1.49192e+11	2.06631e+08
20	8.64e+06	99.6541	1.00153	-2.51228e+10	1.47705e+11	4.19941e+08
21	9.072e+06	104.563	1.00234	-3.76987e+10	1.4513e+11	6.30158e+08
22	9.504e+06	109.464	1.00313	-4.99978e+10	1.4149e+11	8.35747e+08
23	9.936e+06	114.357	1.0039	-6.19308e+10	1.36814e+11	1.03521e+09
24	1.0368e+07	119.244	1.00464	-7.34113e+10	1.31138e+11	1.2271e+09
25	1.08e+07	124.123	1.00535	-8.43564e+10	1.24505e+11	1.41004e+09
26	1.1232e+07	128.995	1.00602	-9.46878e+10	1.16967e+11	1.58272e+09
27	1.1664e+07	133.861	1.00664	-1.04332e+11	1.08579e+11	1.7439e+09
28	1.2096e+07	138.721	1.00721	-1.13219e+11	9.94046e+10	1.89244e+09
29	1.2528e+07	143.576	1.00773	-1.21288e+11	8.95105e+10	2.02727e+09
30	1.296e+07	148.427	1.0082	-1.2848e+11	7.89697e+10	2.14746e+09
31	1.3392e+07	153.273	1.0086	-1.34745e+11	6.78591e+10	2.25216e+09
32	1.3824e+07	158.115	1.00894	-1.40039e+11	5.62594e+10	2.34063e+09
33	1.4256e+07	162.955	1.00922	-1.44325e+11	4.42548e+10	2.41225e+09
34	1.4688e+07	167.792	1.00943	-1.47573e+11	3.19318e+10	2.46652e+09
35	1.512e+07	172.628	1.00957	-1.4976e+11	1.93792e+10	2.50306e+09
36	1.5552e+07	177.462	1.00964	-1.50871e+11	6.68739e+09	2.52162e+09
37	1.5984e+07	182.297	1.00964	-1.50898e+11	-6.05247e+09	2.52207e+09
38	1.6416e+07	187.131	1.00957	-1.49841e+11	-1.87488e+10	2.50441e+09
39	1.6848e+07	191.967	1.00944	-1.47707e+11	-3.13105e+10	2.46876e+09
40	1.728e+07	196.804	1.00923	-1.44512e+11	-4.36471e+10	2.41537e+09
41	1.7712e+07	201.643	1.00896	-1.40277e+11	-5.56697e+10	2.3446e+09
42	1.8144e+07	206.486	1.00862	-1.35032e+11	-6.72915e+10	2.25696e+09
