# idx	time(s)	ANOMALY(d)	R2(AU)	s2x(m)	s2y(m)	s2z(m)
27	1.1664e+07	13.3126	0.990605	-1.01647e+11	1.07811e+11	-2.40998e+09
28	1.2096e+07	18.3333	0.990831	-1.10719e+11	9.85231e+10	-2.35138e+09
29	1.2528e+07	23.3514	0.991126	-1.1895e+11	8.84869e+10	-2.27491e+09
30	1.296e+07	28.3661	0.991488	-1.26277e+11	7.77787e+10	-2.18117e+09
31	1.3392e+07	33.3769	0.991914	-1.32647e+11	6.64805e+10	-2.07088e+09
32	1.3824e+07	38.3831	0.9924	-1.38011e+11	5.46786e+10	-1.9449e+09
33	1.4256e+07	43.3841	0.992943	-1.42332e+11	4.24631e+10	-1.80421e+09
34	1.4688e+07	48.3793	0.993539	-1.45578e+11	2.99268e+10	-1.64989e+09
35	1.512e+07	53.3683	0.994183	-1.47726e+11	1.7165e+10	-1.48313e+09
36	1.5552e+07	58.3507	0.99487	-1.48763e+11	4.2739e+09	-1.3052e+09
37	1.5984e+07	63.326	0.995594	-1.48683e+11	-8.64928e+09	-1.11747e+09
38	1.6416e+07	68.2938	0.996351	-1.47489e+11	-2.15077e+10	-9.21359e+08
39	1.6848e+07	73.254	0.997135	-1.45193e+11	-3.42054e+10	-7.18356e+08
40	1.728e+07	78.2063	0.997939	-1.41813e+11	-4.6648e+10	-5.09991e+08
41	1.7712e+07	83.1506	0.998758	-1.37379e+11	-5.87436e+10	-2.97829e+08
42	1.8144e+07	88.0867	0.999585	-1.31925e+11	-7.04034e+10	-8.34538e+07
43	1.8576e+07	93.0146	1.00041	-1.25495e+11	-8.15419e+10	1.31541e+08
44	1.9008e+07	97.9344	1.00124	-1.18138e+11	-9.20784e+10	3.45564e+08
45	1.944e+07	102.846	1.00206	-1.0991e+11	-1.01937e+11	5.5704e+08
46	1.9872e+07	107.75	1.00286	-1.00875e+11	-1.11046e+11	7.64421e+08
47	2.0304e+07	112.646	1.00364	-9.11008e+10	-1.19341e+11	9.66195e+08
48	2.0736e+07	117.534	1.00439	-8.066e+10	-1.26763e+11	1.1609e+09
49	2.1168e+07	122.416	1.00511	-6.96305e+10	-1.33261e+11	1.34713e+09
50	2.16e+07	127.29	1.00579	-5.8094e+10	-1.38788e+11	1.52354e+09
51	2.2032e+07	132.159	1.00643	-4.61353e+10	-1.43306e+11	1.68888e+09
52	2.2464e+07	137.021	1.00702	-3.38419e+10	-1.46786e+11	1.84196e+09
53	2.2896e+07	141.878	1.00756	-2.13035e+10	-1.49202e+11	1.98171e+09
54	2.3328e+07	146.73	1.00804	-8.61106e+09	-1.5054e+11	2.10712e+09
55	2.376e+07	151.577	1.00847	4.14356e+09	-1.50791e+11	2.21733e+09
56	2.4192e+07	156.421	1.00883	1.68683e+10	-1.49955e+11	2.31155e+09
57	2.4624e+07	161.262	1.00913	2.94716e+10	-1.4804e+11	2.38913e+09
58	2.5056e+07	166.1	1.00936	4.18629e+10	-1.45059e+11	2.44952e+09
59	2.5488e+07	170.936	1.00953	5.39532e+10	-1.41035e+11	2.49231e+09
60	2.592e+07	175.771	1.00962	6.56558e+10	-1.35997e+11	2.51718e+09
61	2.6352e+07	180.605	1.00965	7.68867e+10	-1.29983e+11	2.52398e+09
62	2.6784e+07	185.439	1.00961	8.75652e+10	-1.23035e+11	2.51265e+09
63	2.7216e+07	190.274	1.00949	9.76146e+10	-1.15203e+11	2.48327e+09
64	2.7648e+07	195.111	1.00931	1.06962e+11	-1.06542e+11	2.43605e+09
65	2.808e+07	199.949	1.00906	1.15541e+11	-9.7116e+10	2.37131e+09
66	2.8512e+07	204.791	1.00874	1.23288e+11	-8.69908e+10	2.28951e+09
67	2.8944e+07	209.635	1.00836	1.30147e+11	-7.6239e+10	2.19123e+09
68	2.9376e+07	214.484	1.00792	1.36068e+11	-6.49374e+10	2.07714e+09
69	2.9808e+07	219.337	1.00743	1.41006e+11	-5.3167e+10	1.94805e+09
70	3.024e+07	224.195	1.00687	1.44924e+11	-4.10121e+10	1.80487e+09
71	3.0672e+07	229.059	1.00627	1.47793e+11	-2.85602e+10	1.64861e+09
72	3.1104e+07	233.929	1.00562	1.49589e+11	-1.5901e+10	1.48039e+09
73	3.1536e+07	238.805	1.00493	1.50297e+11	-3.12635e+09	1.3014e+09
