# idx	time(s)	ANOMALY(d)	R2(AU)	s2x(m)	s2y(m)	s2z(m)
1	432000	-116.068	1.00417	1.49863e+11	1.03082e+10	1.1033e+09
2	864000	-111.177	1.0034	1.48327e+11	2.3029e+10	9.06322e+08
3	1.296e+06	-106.279	1.00262	1.45707e+11	3.55813e+10	7.02709e+08
4	1.728e+06	-101.373	1.00181	1.42017e+11	4.78725e+10	4.93939e+08
5	2.16e+06	-96.4588	1.00099	1.37283e+11	5.98117e+10	2.81534e+08
6	2.592e+06	-91.5366	1.00017	1.31536e+11	7.13099e+10	6.70531e+07
7	3.024e+06	-86.6063	0.999336	1.24818e+11	8.22811e+10	-1.47923e+08
8	3.456e+06	-81.6677	0.998511	1.17176e+11	9.26427e+10	-3.61801e+08
9	3.888e+06	-76.721	0.997696	1.08663e+11	1.02316e+11	-5.7299e+08
10	4.32e+06	-71.7664	0.996897	9.93406e+10	1.11228e+11	-7.79908e+08
11	4.752e+06	-66.8038	0.996121	8.92774e+10	1.1931e+11	-9.81002e+08
12	5.184e+06	-61.8337	0.995373	7.85463e+10	1.26499e+11	-1.17475e+09
13	5.616e+06	-56.8563	0.994659	6.72264e+10	1.3274e+11	-1.35969e+09
14	6.048e+06	-51.8719	0.993985	5.54015e+10	1.37983e+11	-1.5344e+09
15	6.48e+06	-46.8809	0.993355	4.31595e+10	1.42188e+11	-1.69756e+09
16	6.912e+06	-41.8839	0.992775	3.0592e+10	1.4532e+11	-1.84792e+09
17	7.344e+06	-36.8813	0.992248	1.77933e+10	1.47355e+11	-1.9843e+09
18	7.776e+06	-31.8737	0.99178	4.86009e+09	1.48274e+11	-2.10567e+09
19	8.208e+06	-26.8616	0.991373	-8.10998e+09	1.48069e+11	-2.21107e+09
20	8.64e+06	-21.8458	0.99103	-2.10185e+10	1.46741e+11	-2.2997e+09
21	9.072e+06	-16.8269	0.990756	-3.37673e+10	1.44298e+11	-2.37087e+09
22	9.504e+06	-11.8055	0.990551	-4.62594e+10	1.40758e+11	-2.42401e+09
23	9.936e+06	-6.78239	0.990417	-5.83996e+10	1.36147e+11	-2.45872e+09
24	1.0368e+07	-1.75831	0.990355	-7.00954e+10	1.30501e+11	-2.47472e+09
25	1.08e+07	3.26604	0.990366	-8.12577e+10	1.23861e+11	-2.4719e+09
26	1.1232e+07	8.28991	0.990449	-9.18014e+10	1.16278e+11	-2.45026e+09
