-144512000000.0,-43647100000.0,2415370000.0,-141813000000.0,-46648000000.0,-509991000.0,-142520000000.0,-41844700000.0,-1796830000.0,17280000.0
-140277000000.0,-55669700000.0,2344600000.0,-137379000000.0,-58743600000.0,-297829000.0,-138252000000.0,-54078500000.0,-1938230000.0,17712000.0
-135032000000.0,-67291500000.0,2256960000.0,-131925000000.0,-70403400000.0,-83453800.0,-132938000000.0,-65903100000.0,-2064960000.0,18144000.0
-128815000000.0,-78428500000.0,2153060000.0,-125495000000.0,-81541900000.0,131541000.0,-126618000000.0,-77228500000.0,-2176050000.0,18576000.0
-121667000000.0,-88999500000.0,2033620000.0,-118138000000.0,-92078400000.0,345564000.0,-119337000000.0,-87968200000.0,-2270640000.0,19008000.0
-113642000000.0,-98927600000.0,1899490000.0,-109910000000.0,-101937000000.0,557040000.0,-111150000000.0,-98039800000.0,-2347990000.0,19440000.0
-104793000000.0,-108140000000.0,1751620000.0,-100875000000.0,-111046000000.0,764421000.0,-102118000000.0,-107366000000.0,-2407490000.0,19872000.0
-95185600000.0,-116568000000.0,1591040000.0,-91100800000.0,-119341000000.0,966195000.0,-92309600000.0,-115876000000.0,-2448690000.0,20304000.0
-84886800000.0,-124150000000.0,1418910000.0,-80660000000.0,-126763000000.0,1160900000.0,-81798800000.0,-123504000000.0,-2471260000.0,20736000.0
-73970400000.0,-130829000000.0,1236450000.0,-69630500000.0,-133261000000.0,1347130000.0,-70665400000.0,-130193000000.0,-2475030000.0,21168000.0
-62514700000.0,-136554000000.0,1044970000.0,-58094000000.0,-138788000000.0,1523540000.0,-58994100000.0,-135890000000.0,-2459960000.0,21600000.0
-50602300000.0,-141281000000.0,845851000.0,-46135300000.0,-143306000000.0,1688880000.0,-46873900000.0,-140553000000.0,-2426180000.0,22032000.0
-38319300000.0,-144974000000.0,640533000.0,-33841900000.0,-146786000000.0,1841960000.0,-34397100000.0,-144147000000.0,-2373950000.0,22464000.0
-25755000000.0,-147602000000.0,430510000.0,-21303500000.0,-149202000000.0,1981710000.0,-21658800000.0,-146645000000.0,-2303670000.0,22896000.0
-13001300000.0,-149144000000.0,217317000.0,-8611060000.0,-150540000000.0,2107120000.0,-8755960000.0,-148029000000.0,-2215900000.0,23328000.0
-151610000.0,-149585000000.0,2520870.0,4143560000.0,-150791000000.0,2217330000.0,4213370000.0,-148290000000.0,-2111310000.0,23760000.0
12699100000.0,-148921000000.0,-212293000.0,16868300000.0,-149955000000.0,2311550000.0,17150800000.0,-147427000000.0,-1990720000.0,24192000.0
25455700000.0,-147152000000.0,-425531000.0,29471600000.0,-148040000000.0,2389130000.0,29958400000.0,-145448000000.0,-1855060000.0,24624000.0
38023000000.0,-144290000000.0,-635603000.0,41862900000.0,-145059000000.0,2449520000.0,42539700000.0,-142370000000.0,-1705380000.0,25056000.0
50307000000.0,-140353000000.0,-840936000.0,53953200000.0,-141035000000.0,2492310000.0,54800100000.0,-138218000000.0,-1542830000.0,25488000.0
62215300000.0,-135367000000.0,-1039980000.0,65655800000.0,-135997000000.0,2517180000.0,66648000000.0,-133025000000.0,-1368650000.0,25920000.0
73657900000.0,-129368000000.0,-1231240000.0,76886700000.0,-129983000000.0,2523980000.0,77995100000.0,-126833000000.0,-1184190000.0,26352000.0
84547800000.0,-122399000000.0,-1413250000.0,87565200000.0,-123035000000.0,2512650000.0,88757400000.0,-119690000000.0,-990850000.0,26784000.0
94802100000.0,-114510000000.0,-1584640000.0,97614600000.0,-115203000000.0,2483270000.0,98855800000.0,-111651000000.0,-790087000.0,27216000.0
104342000000.0,-105758000000.0,-1744080000.0,106962000000.0,-106542000000.0,2436050000.0,108216000000.0,-102779000000.0,-583422000.0,27648000.0
113095000000.0,-96208100000.0,-1890360000.0,115541000000.0,-97116000000.0,2371310000.0,116771000000.0,-93142000000.0,-372410000.0,28080000.0
120993000000.0,-85930800000.0,-2022340000.0,123288000000.0,-86990800000.0,2289510000.0,124459000000.0,-82812900000.0,-158628000.0,28512000.0
127974000000.0,-75002900000.0,-2139010000.0,130147000000.0,-76239000000.0,2191230000.0,131224000000.0,-71870200000.0,56331400.0,28944000.0
133985000000.0,-63506400000.0,-2239470000.0,136068000000.0,-64937400000.0,2077140000.0,137020000000.0,-60396200000.0,270875000.0,29376000.0
138980000000.0,-51527800000.0,-2322920000.0,141006000000.0,-53167000000.0,1948050000.0,141805000000.0,-48477000000.0,483420000.0,29808000.0
142918000000.0,-39157800000.0,-2388730000.0,144924000000.0,-41012100000.0,1804870000.0,145548000000.0,-36201200000.0,692408000.0,30240000.0
145770000000.0,-26490100000.0,-2436380000.0,147793000000.0,-28560200000.0,1648610000.0,148222000000.0,-23659700000.0,896313000.0,30672000.0
147512000000.0,-13620800000.0,-2465500000.0,149589000000.0,-15901000000.0,1480390000.0,149812000000.0,-10945100000.0,1093650000.0,31104000.0
148132000000.0,-647871000.0,-2475860000.0,150297000000.0,-3126350000.0,1301400000.0,150308000000.0,1849490000.0,1283000000.0,31536000.0
